NOME,DATA_NASCIMENTO,CPF,ENDEREÇO,TELEFONE
Fabricio,21 12 1989,36587623456,joao paulo,47698765345
Lucio,21 04 1990,35476348697,carlos antunes,54783456234
Luciano,21 04 1999,84523467523,julio de castilho,45678902345
Fabricio,21 12 1989,17354623451,jaalo,45678934560
Cardozo,30 09 1979,32453556785,carmem,65834590876
Carlos,23 05 2000,76587345987,alemanha,45678983457
Fabricio,21 12 1900,84536587634,joaquina,45678904567
Luiza,21 06 1992,85634587908,carlos aquia,43675907681
Antonio,20/2/1978,09834576235,calor barbosa,85634562347
Luiz,21/2/1990,19645298763,carlos jose,54876598123
Luizinho,3/12/1999,23435689734,os luis,54874523457
